Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Faryab : Wilayat - Province,U,I,0,0,0,6,0,0,6,7,0,0,7,0,0,14,20
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Ghazni : Wilayat - Province,R,I,0,0,6,9,0,0,15,0,0,8,7,0,0,15,30
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Ghazni : Wilayat - Province,U,I,0,0,9,0,0,0,9,0,0,0,0,0,0,0,9
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Ghor : Wilayat - Province,R,I,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Helmand : Wilayat - Province,R,I,0,0,5,5,0,0,10,0,0,8,5,0,0,13,23
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Helmand : Wilayat - Province,U,I,5,8,0,10,0,0,23,6,0,6,11,0,0,23,46
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Herat : Wilayat - Province,U,I,28,28,20,60,0,0,136,27,16,15,56,6,0,120,256
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Jawzjan : Wilayat - Province,R,I,0,6,0,5,0,0,11,0,0,8,6,0,0,14,25
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Jawzjan : Wilayat - Province,U,I,5,6,0,6,0,0,17,7,0,5,12,0,0,24,41
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Kabul : Wilayat - Province,R,I,0,7,0,5,0,0,12,0,0,9,0,0,0,9,21
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Kabul : Wilayat - Province,U,I,41,42,34,92,5,0,214,42,25,23,93,11,0,194,408
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Kandahar : Wilayat - Province,R,I,6,5,5,8,0,0,24,5,6,0,13,0,0,24,48
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Kandahar : Wilayat - Province,U,I,6,0,0,9,0,0,15,0,7,0,12,0,0,19,34
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Kapisa : Wilayat - Province,R,I,0,0,0,8,0,0,8,0,0,0,0,0,0,0,8
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Kapisa : Wilayat - Province,U,I,0,0,0,6,0,0,6,0,0,0,0,0,0,0,6
